ca,rate
2.9775280898876364, 3.713284530700257
2.752808988764043, 3.676115083418452
2.0786516853932593, 3.5835461355124263
1.2696629213483117, 3.283069458631255
1.2696629213483117, 3.283069458631255
1.3146067415730318, 2.790503348087615
1.1123595505617967, 2.4123538758370184
0.6853932584269646, 1.3530955623652243
0.5056179775280878, 1.1453297015094748
0.6629213483146064, 0.7660452843037078
-1.6067415730337071, -0.38209340596981
-1.5168539325842705, -0.5149528997843618
-3.5168539325842705, -0.3760640108954707
